group,club_pair,pair_count,purity
Other (Men's),chelsea ↔ leicester city,192,0.3958333333333333
Other (Men's),everton ↔ spurs,191,0.4607329842931937
Other (Men's),arsenal ↔ west ham,190,0.4631578947368421
Other (Men's),ajax ↔ barcelona,189,0.24338624338624337
Other (Men's),inter ↔ manchester city,189,0.2275132275132275
Other (Men's),brighton ↔ crystal palace,188,0.48404255319148937
Other (Men's),blues ↔ manchester united,186,0.3655913978494624
Other (Men's),inter ↔ real madrid,185,0.22162162162162163
Other (Men's),inter ↔ liverpool,185,0.2648648648648649
Other (Men's),bournemouth ↔ manchester city,183,0.47540983606557374
Other (Men's),real madrid ↔ sevilla,183,0.23497267759562843
Other (Men's),juventus ↔ tottenham,183,0.3005464480874317
Other (Men's),chelsea ↔ roma,182,0.2087912087912088
Other (Men's),atletico madrid ↔ liverpool,180,0.31666666666666665
Other (Men's),bayern munich ↔ psg,180,0.24444444444444444
Other (Men's),bayer leverkusen ↔ bayern munich,179,0.4134078212290503
Other (Men's),arsenal ↔ leicester,178,0.42134831460674155
Other (Men's),chelsea ↔ nottingham forest,177,0.4576271186440678
Other (Men's),burnley ↔ tottenham,176,0.4147727272727273
Other (Men's),burnley ↔ newcastle,174,0.45977011494252873
Other (Men's),chelsea ↔ newcastle united,174,0.3793103448275862
Other (Men's),barca ↔ bayern munich,174,0.21264367816091953
Other (Men's),bournemouth ↔ chelsea,174,0.4827586206896552
Other (Men's),atletico ↔ atletico madrid,174,0.39655172413793105
Other (Men's),bayern munich ↔ dortmund,174,0.3160919540229885
Other (Men's),benfica ↔ manchester city,173,0.2832369942196532
Other (Men's),bournemouth ↔ everton,173,0.45664739884393063
Other (Men's),ajax ↔ liverpool,173,0.2774566473988439
Other (Men's),bayern munich ↔ tottenham,172,0.22674418604651161
Other (Men's),arsenal ↔ nottingham forest,170,0.4764705882352941
Other (Men's),aston villa ↔ burnley,169,0.4378698224852071
Other (Men's),manchester united ↔ roma,169,0.1834319526627219
Other (Men's),bournemouth ↔ manchester united,169,0.4437869822485207
Other (Men's),bayern ↔ borussia dortmund,168,0.3333333333333333
Other (Men's),arsenal ↔ fulham,166,0.4457831325301205
Other (Men's),brighton ↔ burnley,166,0.4397590361445783
Other (Men's),manchester city ↔ newcastle united,165,0.40606060606060607
Other (Men's),man city ↔ manchester united,165,0.41818181818181815
Other (Men's),juventus ↔ psg,165,0.23030303030303031
Other (Men's),gunners ↔ liverpool,164,0.4451219512195122
Other (Men's),brentford ↔ crystal palace,164,0.4817073170731707
Other (Men's),newcastle ↔ reds,163,0.4049079754601227
Other (Men's),inter ↔ juventus,163,0.26380368098159507
Other (Men's),chelsea ↔ leeds united,162,0.41358024691358025
Other (Men's),barcelona ↔ villarreal,162,0.2777777777777778
Other (Men's),manchester city ↔ villarreal,162,0.3395061728395062
Other (Men's),bayern ↔ chelsea,161,0.2857142857142857
Other (Men's),inter ↔ tottenham,161,0.2732919254658385
Other (Men's),bayern munich ↔ reds,160,0.28125
Other (Men's),blues ↔ real madrid,160,0.28125
Other (Men's),borussia dortmund ↔ paris saint-germain,159,0.18867924528301888
Other (Men's),leicester city ↔ liverpool,159,0.41509433962264153
Other (Men's),arsenal ↔ bayern munich,159,0.20754716981132076
Other (Men's),bayern ↔ manchester city,158,0.23417721518987342
Other (Men's),arsenal ↔ reds,157,0.35668789808917195
Other (Men's),everton ↔ leicester,157,0.36942675159235666
Other (Men's),liverpool ↔ rb leipzig,157,0.22929936305732485
Other (Men's),leicester city ↔ manchester united,156,0.4358974358974359
Other (Men's),paris saint-germain ↔ tottenham,156,0.27564102564102566
Other (Men's),arsenal ↔ man city,155,0.44516129032258067
Other (Men's),barcelona ↔ blues,155,0.27741935483870966
Other (Men's),dortmund ↔ manchester city,154,0.2922077922077922
Other (Men's),brentford ↔ burnley,154,0.44155844155844154
Other (Men's),bayern munich ↔ rb leipzig,154,0.2922077922077922
Other (Men's),barca ↔ chelsea,153,0.24836601307189543
Other (Men's),barca ↔ paris saint-germain,153,0.22875816993464052
Other (Men's),barcelona ↔ everton,153,0.29411764705882354
Other (Men's),everton ↔ nottingham forest,153,0.46405228758169936
Other (Men's),crystal palace ↔ newcastle,152,0.48026315789473684
Other (Men's),bournemouth ↔ newcastle,152,0.4934210526315789
Other (Men's),reds ↔ villarreal,152,0.32894736842105265
Other (Men's),juventus ↔ roma,152,0.25
Other (Men's),everton ↔ west ham,151,0.4768211920529801
Other (Men's),liverpool ↔ porto,151,0.2781456953642384
Other (Men's),brentford ↔ newcastle,151,0.423841059602649
Other (Men's),brighton ↔ west ham,150,0.43333333333333335
Other (Men's),ajax ↔ manchester city,150,0.26
Other (Men's),leeds united ↔ manchester city,150,0.4533333333333333
Other (Men's),manchester united ↔ newcastle united,149,0.3825503355704698
Other (Men's),leicester city ↔ manchester city,148,0.41216216216216217
Other (Men's),ajax ↔ chelsea,147,0.2789115646258503
Other (Men's),aston villa ↔ brentford,146,0.4657534246575342
Other (Men's),brighton ↔ spurs,146,0.4520547945205479
Other (Men's),manchester united ↔ nottingham forest,145,0.45517241379310347
Other (Men's),fulham ↔ reds,145,0.46206896551724136
Other (Men's),everton ↔ fulham,144,0.4652777777777778
Other (Men's),gunners ↔ manchester city,144,0.4444444444444444
Other (Men's),manchester city ↔ porto,144,0.2569444444444444
Other (Men's),newcastle ↔ spurs,144,0.4444444444444444
Other (Men's),crystal palace ↔ fulham,143,0.5034965034965035
Other (Men's),newcastle ↔ west ham,143,0.42657342657342656
Other (Men's),aston villa ↔ west ham,143,0.48951048951048953
Other (Men's),leeds united ↔ liverpool,142,0.4507042253521127
Other (Men's),napoli ↔ real madrid,142,0.19718309859154928
Other (Men's),aston villa ↔ fulham,142,0.4859154929577465
Other (Men's),fulham ↔ newcastle,141,0.475177304964539
Other (Men's),arsenal ↔ paris saint-germain,141,0.19858156028368795
Other (Men's),aston villa ↔ reds,140,0.38571428571428573
Other (Men's),dortmund ↔ real madrid,139,0.2014388489208633
Other (Men's),dortmund ↔ liverpool,139,0.22302158273381295
Other (Men's),leicester ↔ leicester city,139,0.41007194244604317
Other (Men's),juventus ↔ milan,139,0.2589928057553957
Other (Men's),ac milan ↔ real madrid,139,0.20863309352517986
Other (Men's),reds ↔ tottenham,139,0.34532374100719426
Other (Men's),ajax ↔ bayern munich,138,0.2391304347826087
Other (Men's),bournemouth ↔ fulham,138,0.5072463768115942
Other (Men's),atletico madrid ↔ chelsea,138,0.2826086956521739
Other (Men's),chelsea ↔ napoli,137,0.25547445255474455
Other (Men's),chelsea ↔ sevilla,137,0.26277372262773724
Other (Men's),barca ↔ liverpool,136,0.25
Other (Men's),aston villa ↔ spurs,136,0.47794117647058826
Other (Men's),blues ↔ everton,136,0.4485294117647059
Other (Men's),everton ↔ toffees,136,0.6102941176470589
Other (Men's),brighton ↔ nottingham forest,135,0.4740740740740741
Other (Men's),arsenal ↔ bournemouth,135,0.4740740740740741
Other (Men's),bayern munich ↔ villarreal,135,0.3851851851851852
Other (Men's),chelsea ↔ gunners,134,0.417910447761194
Other (Men's),arsenal ↔ juventus,134,0.291044776119403
Other (Men's),barcelona ↔ dortmund,134,0.20149253731343283
Other (Men's),liverpool ↔ sheffield united,134,0.47761194029850745
Other (Men's),benfica ↔ manchester united,134,0.26865671641791045
Other (Men's),aston villa ↔ barcelona,133,0.3383458646616541
Other (Men's),manchester city ↔ sheffield united,133,0.48120300751879697
Other (Men's),nottingham forest ↔ tottenham,133,0.48120300751879697
Other (Men's),burnley ↔ crystal palace,132,0.4772727272727273
Other (Men's),bayern munich ↔ lazio,132,0.30303030303030304
Other (Men's),manchester city ↔ napoli,132,0.1893939393939394
Other (Men's),ac milan ↔ chelsea,132,0.20454545454545456
Other (Men's),ajax ↔ real madrid,132,0.2803030303030303
Other (Men's),manchester united ↔ sevilla,131,0.22900763358778625
Other (Men's),arsenal ↔ leicester city,131,0.45038167938931295
Other (Men's),everton ↔ reds,131,0.3816793893129771
Other (Men's),barcelona ↔ roma,131,0.183206106870229
Other (Men's),aston villa ↔ bournemouth,131,0.5114503816793893
Other (Men's),barca ↔ manchester united,131,0.26717557251908397
Other (Men's),leicester city ↔ tottenham,130,0.36923076923076925
Other (Men's),manchester city ↔ rb leipzig,130,0.2076923076923077
Other (Men's),barcelona ↔ reds,129,0.29457364341085274
Other (Men's),everton ↔ real madrid,129,0.2713178294573643
Other (Men's),manchester united ↔ villarreal,128,0.3046875
Other (Men's),rb leipzig ↔ real madrid,128,0.34375
Other (Men's),blues ↔ tottenham,127,0.3779527559055118
Other (Men's),manchester united ↔ napoli,127,0.1889763779527559
Other (Men's),manchester city ↔ sevilla,127,0.2440944881889764
Other (Men's),chelsea ↔ sheffield united,127,0.4566929133858268
Other (Men's),ac milan ↔ barcelona,126,0.20634920634920634
Other (Men's),newcastle ↔ newcastle united,126,0.47619047619047616
Other (Men's),juventus ↔ napoli,126,0.2698412698412698
Other (Men's),arsenal ↔ borussia dortmund,126,0.2222222222222222
Other (Men's),liverpool ↔ roma,126,0.20634920634920634
Other (Men's),ac milan ↔ manchester united,125,0.224
Other (Men's),leicester ↔ newcastle,125,0.416
Other (Men's),bayern ↔ manchester united,125,0.24
Other (Men's),ac milan ↔ juventus,124,0.25
Other (Men's),ac milan ↔ liverpool,124,0.27419354838709675
Other (Men's),crystal palace ↔ west ham,124,0.47580645161290325
Other (Men's),ac milan ↔ milan,123,0.3008130081300813
Other (Men's),arsenal ↔ barca,123,0.22764227642276422
Other (Men's),gunners ↔ manchester united,123,0.42276422764227645
Other (Men's),ac milan ↔ inter,123,0.2682926829268293
Other (Men's),bournemouth ↔ nottingham forest,122,0.48360655737704916
Other (Men's),liverpool ↔ napoli,122,0.22950819672131148
Other (Men's),arsenal ↔ psg,122,0.22950819672131148
Other (Men's),barcelona ↔ valencia,122,0.2459016393442623
Other (Men's),magpies ↔ newcastle,122,0.4672131147540984
Other (Men's),crystal palace ↔ reds,121,0.4297520661157025
Other (Men's),chelsea ↔ villarreal,121,0.30578512396694213
Other (Men's),barcelona ↔ newcastle,121,0.33884297520661155
Other (Men's),gunners ↔ tottenham,121,0.3305785123966942
Other (Men's),bayern munich ↔ inter,121,0.2066115702479339
Other (Men's),liverpool ↔ man utd,121,0.4214876033057851
Other (Men's),leeds united ↔ manchester united,120,0.4166666666666667
Other (Men's),liverpool ↔ sevilla,119,0.2184873949579832
Other (Men's),bayern munich ↔ napoli,119,0.18487394957983194
Other (Men's),bayer leverkusen ↔ liverpool,119,0.2857142857142857
Other (Men's),dortmund ↔ manchester united,119,0.2605042016806723
Other (Men's),arsenal ↔ blues,118,0.3728813559322034
Other (Men's),juventus ↔ villarreal,118,0.3559322033898305
Other (Men's),newcastle ↔ real madrid,118,0.2796610169491525
Other (Men's),arsenal ↔ leeds united,116,0.4482758620689655
Other (Men's),manchester united ↔ sheffield united,116,0.4827586206896552
Other (Men's),arsenal ↔ newcastle united,116,0.3793103448275862
Other (Men's),barcelona ↔ milan,116,0.25
Other (Men's),bournemouth ↔ brighton,115,0.4782608695652174
Other (Men's),chelsea ↔ lille,115,0.30434782608695654
Other (Men's),bournemouth ↔ tottenham,115,0.4782608695652174
Other (Men's),newcastle ↔ nottingham forest,115,0.5304347826086957
Other (Men's),leicester ↔ reds,115,0.3826086956521739
Other (Men's),leipzig ↔ rb leipzig,115,0.30434782608695654
