file,source,gold_count,spacy_person_count,tp,fn,fp,model
Games/BBC/48_ENG_SUI_first_half.json,Games,187,203,154,33,49,en_core_web_sm
Games/BBC/48_ENG_SUI_second_half.json,Games,483,519,419,64,100,en_core_web_sm
Games/BBC/49_ESP_FRA_first_half.json,Games,201,179,140,61,39,en_core_web_sm
Games/BBC/49_ESP_FRA_second_half.json,Games,449,337,268,181,69,en_core_web_sm
Games/BBC/50_NED_ENG_first_half.json,Games,232,212,187,45,25,en_core_web_sm
Games/BBC/50_NED_ENG_second_half.json,Games,239,242,195,44,47,en_core_web_sm
Games/BBC/51_ESP_ENG_first_half.json,Games,281,299,263,18,36,en_core_web_sm
Games/BBC/51_ESP_ENG_second_half.json,Games,226,242,207,19,35,en_core_web_sm
Reports/BBC/01_GER_SCO.json,Reports,25,26,22,3,4,en_core_web_lg
Reports/BBC/02_HUN_SUI.json,Reports,20,20,20,0,0,en_core_web_lg
Reports/BBC/03_ESP_CRO.json,Reports,26,32,25,1,7,en_core_web_lg
Reports/BBC/04_ITA_ALB.json,Reports,21,21,20,1,1,en_core_web_lg
Reports/BBC/05_SRB_ENG.json,Reports,28,26,26,2,0,en_core_web_lg
Reports/BBC/06_SVN_DEN.json,Reports,26,23,22,4,1,en_core_web_lg
Reports/BBC/07_POL_NED.json,Reports,30,34,28,2,6,en_core_web_lg
Reports/BBC/08_AUT_FRA.json,Reports,28,17,15,13,2,en_core_web_lg
Reports/BBC/09_BEL_SVK.json,Reports,19,21,18,1,3,en_core_web_lg
Reports/BBC/10_ROU_UKR.json,Reports,17,15,11,6,4,en_core_web_lg
Reports/BBC/11_TUR_GEO.json,Reports,16,18,13,3,5,en_core_web_lg
Reports/BBC/12_POR_CZE.json,Reports,16,13,12,4,1,en_core_web_lg
Reports/BBC/13_SCO_SUI.json,Reports,27,27,26,1,1,en_core_web_lg
Reports/BBC/14_GER_HUN.json,Reports,27,27,26,1,1,en_core_web_lg
Reports/BBC/15_CRO_ALB.json,Reports,9,9,9,0,0,en_core_web_lg
Reports/BBC/16_ESP_ITA.json,Reports,23,26,22,1,4,en_core_web_lg
Reports/BBC/17_DEN_ENG.json,Reports,20,23,20,0,3,en_core_web_lg
Reports/BBC/18_SVN_SRB.json,Reports,18,16,16,2,0,en_core_web_lg
Reports/BBC/19_POL_AUT.json,Reports,18,22,17,1,5,en_core_web_lg
Reports/BBC/20_NED_FRA.json,Reports,20,13,12,8,1,en_core_web_lg
Reports/BBC/21_SVK_UKR.json,Reports,23,21,21,2,0,en_core_web_lg
Reports/BBC/22_BEL_ROU.json,Reports,19,18,14,5,4,en_core_web_lg
Reports/BBC/23_TUR_POR.json,Reports,29,27,25,4,2,en_core_web_lg
Reports/BBC/24_GEO_CZE.json,Reports,22,24,21,1,3,en_core_web_lg
Reports/BBC/25_SUI_GER.json,Reports,29,29,27,2,2,en_core_web_lg
Reports/BBC/26_SCO_HUN.json,Reports,19,19,18,1,1,en_core_web_lg
Reports/BBC/27_ALB_ESP.json,Reports,15,18,15,0,3,en_core_web_lg
Reports/BBC/28_CRO_ITA.json,Reports,10,10,10,0,0,en_core_web_lg
Reports/BBC/29_ENG_SVN.json,Reports,30,25,24,6,1,en_core_web_lg
Reports/BBC/30_DEN_SRB.json,Reports,20,21,16,4,5,en_core_web_lg
Reports/BBC/31_NED_AUT.json,Reports,14,15,11,3,4,en_core_web_lg
Reports/BBC/32_FRA_POL.json,Reports,23,21,17,6,4,en_core_web_lg
Reports/BBC/33_SVK_ROU.json,Reports,14,11,11,3,0,en_core_web_lg
Reports/BBC/34_UKR_BEL.json,Reports,21,21,20,1,1,en_core_web_lg
